lag_1,lag_2,lag_3,lag_4,lag_96,rolling_std_4,bot_score
0.86209,0.840708,0.848523,0.816004,0.943655,0.010867723508163118,0.83778
0.83778,0.86209,0.840708,0.848523,0.934368,0.016242208429475987,0.871058
0.871058,0.83778,0.86209,0.840708,0.937707,0.014162870080479265,0.860405
0.860405,0.871058,0.83778,0.86209,0.907372,0.013966828630718882,0.859601
0.859601,0.860405,0.871058,0.83778,0.893426,0.017420027181375777,0.83045
0.83045,0.859601,0.860405,0.871058,0.901803,0.017058376835146737,0.869829
0.869829,0.83045,0.859601,0.860405,0.915916,0.019311050021076887,0.872743
0.872743,0.869829,0.83045,0.859601,0.898252,0.021806396897849207,0.878024
0.878024,0.872743,0.869829,0.83045,0.874124,0.019568687255831083,0.834987
0.834987,0.878024,0.872743,0.869829,0.883654,0.01934647799772689,0.856627
0.856627,0.834987,0.878024,0.872743,0.900816,0.017933693001346375,0.849358
0.849358,0.856627,0.834987,0.878024,0.899466,0.00911261837599665,0.84995
0.84995,0.849358,0.856627,0.834987,0.885657,0.010534079057194294,0.831968
0.831968,0.84995,0.849358,0.856627,0.872075,0.008961663889398834,0.850314
0.850314,0.831968,0.84995,0.849358,0.870193,0.00914548413152022,0.850496
0.850496,0.850314,0.831968,0.84995,0.860011,0.01029007746973848,0.855276
0.855276,0.850496,0.850314,0.831968,0.843774,0.009921005123804396,0.832726
0.832726,0.855276,0.850496,0.850314,0.856672,0.00976007641704479,0.848296
0.848296,0.832726,0.855276,0.850496,0.84819,0.014101591813216114,0.824456
0.824456,0.848296,0.832726,0.855276,0.859662,0.010202695832470075,0.840223
0.840223,0.824456,0.848296,0.832726,0.818947,0.015753265407524555,0.813151
0.813151,0.840223,0.824456,0.848296,0.818098,0.014205176318860323,0.843667
0.843667,0.813151,0.840223,0.824456,0.812726,0.014785190369079177,0.820966
0.820966,0.843667,0.813151,0.840223,0.800115,0.013797227909979353,0.835488
0.835488,0.820966,0.843667,0.813151,0.798977,0.012002390772254939,0.818416
0.818416,0.835488,0.820966,0.843667,0.799159,0.007519940973832059,0.825169
0.825169,0.818416,0.835488,0.820966,0.813727,0.0076980661803199265,0.82004
0.82004,0.825169,0.818416,0.835488,0.8313,0.0035593868853952505,0.825397
0.825397,0.82004,0.825169,0.818416,0.800161,0.002473359304654579,0.823561
0.823561,0.825397,0.82004,0.825169,0.829555,0.007899339819457292,0.807839
0.807839,0.823561,0.825397,0.82004,0.831178,0.010715400132515939,0.833455
0.833455,0.807839,0.823561,0.825397,0.824183,0.01117595691279216,0.829008
0.829008,0.833455,0.807839,0.823561,0.818765,0.018399060755010542,0.852666
0.852666,0.829008,0.833455,0.807839,0.844608,0.010454402816511561,0.834426
0.834426,0.852666,0.829008,0.833455,0.858569,0.01732503610385453,0.866824
0.866824,0.834426,0.852666,0.829008,0.868539,0.017271422087266838,0.829175
0.829175,0.866824,0.834426,0.852666,0.848402,0.017703609262422804,0.831436
0.831436,0.829175,0.866824,0.834426,0.842044,0.017585895036928745,0.835534
0.835534,0.831436,0.829175,0.866824,0.844563,0.014085409117234715,0.859723
0.859723,0.835534,0.831436,0.829175,0.832772,0.013059285202486214,0.834547
0.834547,0.859723,0.835534,0.831436,0.822271,0.015316596562222317,0.823363
0.823363,0.834547,0.859723,0.835534,0.821345,0.015760681235272894,0.830921
0.830921,0.823363,0.834547,0.859723,0.826277,0.007153130381161415,0.840466
0.840466,0.830921,0.823363,0.834547,0.82262,0.007436736874008182,0.82655
0.82655,0.840466,0.830921,0.823363,0.798917,0.01616944837236505,0.802467
0.802467,0.82655,0.840466,0.830921,0.799964,0.015719754631246082,0.824851
0.824851,0.802467,0.82655,0.840466,0.78661,0.016667337547328347,0.843045
0.843045,0.824851,0.802467,0.82655,0.790267,0.024049269987185942,0.858266
0.858266,0.843045,0.824851,0.802467,0.780873,0.014825938104098099,0.830526
0.830526,0.858266,0.843045,0.824851,0.772633,0.011443077339591509,0.840921
0.840921,0.830526,0.858266,0.843045,0.763847,0.015570300553721415,0.822119
